timestamp,temp,hum,press,light,airq,rain,in_temp,in_hum,cputemp
2021-03-15 01:38:43 UTC,25.5,91.4,1728.78,6.7,3392,25664,31,54,45.622
2021-03-15 01:38:22 UTC,25.5,91.4,1728.8,6.7,3488,25552,31,54,45.622
2021-03-15 01:52:08 UTC,25.7,91.6,1728.77,6.7,3520,25504,31,54,45.622
2021-03-15 01:39:48 UTC,25.4,91.3,1728.82,6.7,3328,25488,31,54,45.622
2021-03-15 01:34:29 UTC,25.4,91.6,1728.94,6.7,3408,25648,31,54,45.622
2021-03-15 01:35:11 UTC,25.4,91.6,1728.86,6.7,3408,25504,31,54,45.622
2021-03-15 01:36:37 UTC,25.4,91.6,1728.93,6.7,3376,25456,31,54,45.622
2021-03-15 01:33:46 UTC,25.4,91.7,1729.08,6.7,3408,25504,31,54,45.622
2021-03-15 01:44:24 UTC,25.6,91.3,1728.55,6.7,3456,25408,31,54,45.622
2021-03-15 01:43:19 UTC,25.6,91.3,1728.57,6.7,3488,25488,31,54,45.622
2021-03-15 01:41:33 UTC,25.6,91.2,1728.66,6.7,3504,25392,31,54,45.622
2021-03-15 01:35:54 UTC,25.5,91.5,1728.8,6.7,3392,25504,31,54,45.084
2021-03-15 01:50:44 UTC,25.7,91.5,1728.75,6.7,3488,25600,31,54,45.084
2021-03-15 01:37:19 UTC,25.4,91.5,1728.86,6.7,3408,25440,31,54,45.084
2021-03-15 01:40:09 UTC,25.4,91.3,1728.76,6.7,3360,25616,31,54,45.084
2021-03-15 01:36:58 UTC,25.4,91.6,1728.9,6.7,3392,25472,31,54,45.084
2021-03-15 01:34:50 UTC,25.4,91.6,1728.91,6.7,3440,25440,31,54,45.084
2021-03-15 01:33:04 UTC,25.4,91.7,1729.12,6.7,3424,25488,31,54,45.084
2021-03-15 01:42:58 UTC,25.6,91.2,1728.58,6.7,3424,25552,31,54,45.084
2021-03-15 01:41:54 UTC,25.6,91.2,1728.65,6.7,3424,25408,31,54,45.084
2021-03-15 01:42:16 UTC,25.6,91.2,1728.62,6.7,3440,25504,31,54,45.084
2021-03-19 17:46:04 UTC,24.6,95.2,1730.48,22.5,3408,18912,31,54,45.622
2021-03-19 17:45:22 UTC,24.6,95.6,1730.5,19.2,3488,17936,31,54,45.622
